漢字,振り仮名,上の方が優先されます！
文治派|<|行|>|,ぶんちは|<|ゆく|>|,
文治派|<|継|>|,ぶんちは|<|つぐ|>|,
文治派|<|成|>|,ぶんちは|<|なる|>|,
本美濃紙,ほんみのし,
口惜|しき,くちお|しき,
石田三成,いしだみつなり,
有名有実,ゆうめいゆうじつ,
山内一豊,やまうちかずとよ,
垂井城主,たるいじょうしゅ,
坊主大名,ぼうずだいみょう,
小山評定,おやまひょうじょう,
松平忠吉,まつだいらただよし,
退|き|口,の|き|ぐち,
被|った,かぶ|った,
不破関,ふわのせき,
噴泉池,ふんせんち,
三万石,さんまんごく,
七本槍,しちほんやり,
中書島,ちゅうしょじま,
宇土城,うどじょう,
第二声,だいにせい,
三国黒,みくにぐろ,
御吉例,おきちれい,
第一声,だいいっせい,
空弁当,からべんとう,
大一番,おおいちばん,
大毛利,だいもうり,
|<|守護|>|,|<|プロテクト|>|,
|<|主|>|,|<|しゅ|>|,
|<|従|>|,|<|じゅう|>|,
全登,てるずみ,
三成,みつなり,
返歌,へんか,
三本,さんぼん,
主翼,しゅよく,
一花,ひとはな,
北国,ほっこく,
内府,ないふ,
剛槍,ごうそう,
酒虫,しゅちゅう,
直鋒,ちょくほう,
初撃,しょげき,
四国,しこく,
百世,ももよ,
忍従,にんじゅう,
吉川,きっかわ,
秀吉,ひでよし,
忠吉,ただよし,
小倉,こくら,
粋,すい,
奸,がまり,
三矢,さんし,
上下,じょうげ,
召喚,しょうかん,
一騎,いっき,
,,
一番下,いちばんした,
下|に|置|いてある,した|に|お|いてある,
場合好|き,ばあいす|き,
|「|召|」|,|「|しょう|」|,
,,
,,
,,
,,
,,
,,
一,いち,
二,に,
三,さん,
四,よん,
五,ご,
六,ろく,
七,なな,
八,はち,
九,きゅう,
十,じゅう,
百,ひゃく,
千,せん,
万,まん,
