名前,番号,ページ,質問,回答キャラ,回答,解説,東西
脇坂安治,1,3,ワシが高虎殿に贈ったのはなんじゃ？,ハマボウ1,"<span class=""A"">貞秀の太刀</span>だよね。たしか藤堂高虎さんからもらったって言ってましたよね。",その通り！  ワシと同じように裏切った朽木、赤座、小川の奴らは皆、減封や改易の憂き目にあったからな、据え置きになるよう図らってくれた高虎殿には頭が上がらぬわ。持つべきはやはり友じゃな！,西軍
小早川秀秋,2,5,僕が陣取ったのはどこ？,シュン1,"<span class=""A"">松尾山</span>だ！　関ヶ原の南側にある山だったはずだぜ。",そうだ。よく覚えていてくれたね。僕が陣を張った松尾山には小さな砦があったんだけど、僕はそこを奪い取って石田三成や大谷吉継を待ったんだよ。大垣城の背後を取られた以上、三成たちは関ヶ原に出てくるしかないからね。,西軍
長宗我部盛親,3,7,俺の親父は誰か分かるか？　分かったら答えてくれ,シオリン1,"えーっと、たしか……元親、<span class=""A"">長宗我部元親</span>って言っていたような気がするわ！",おっ、俺の親父のこともちゃんと覚えていてくれたようだな。親父は土佐の出来人って言って、豊臣秀吉が四国に来なければ、あとちょっとで四国全土に手が届くぐらいまで勢力を広げたんだ。土佐のみんなは元気にしているだろうか……。,西軍
吉川広家,4,9,俺が陣取ったのはどこか分かるか？,シュン1,"たしか……<span class=""A"">南宮山の麓</span>って言っていたと思うぜ。",その通り。俺がいた南宮山は東軍が布陣した場所の後ろにある。もし、俺の後ろにいた毛利秀元や長宗我部盛親が出撃していたら背後を突かれていた東軍は大混乱になっていただろうが、俺はそれを推し留めて東軍勝利に貢献してやったのさ。そのおかげで毛利は減封で済んだんだ。,西軍
毛利勝永,5,11,関ヶ原の14、15年後にあった戦いと言えばなんだ？,ハマボウ1,"関ヶ原の14、15年後といえは1614、1615年……。<span class=""A"">大坂の陣</span>でしたよね。たしか冬と夏に分かれていたはず……。",よく知っているではないか。関ヶ原が終わっても依然我らが豊臣家は生き残っていたからな。家康は豊臣にとどめを刺そうとしたのだ。関ヶ原を戦った私、長宗我部盛親、明石全登、後藤又兵衛そして第2次上田合戦で活躍した真田幸村の5人で中心となって戦ったぞ。,西軍
安国寺恵瓊,6,13,拙僧の本業は何であろうか？,ハマボウ1,"そのまま<span class=""A"">僧</span>……なんじゃないんですか？",はっ……拙僧、答えを口にしてしまっていた……。そう、戦国大名の下で働いた僧たちは、寺で学んだ豊富な知識を持っている者たちという扱いを受けて、外交に政治に活躍した。中にはさながら軍師のような働きを見せた者もいると聞く。,西軍
毛利秀元,7,15,僕たち毛利は関ヶ原の後、何藩になったかな？,シオリン1,"毛利といえば、<span class=""A"">長州藩</span>よね。毛利敬親さんとか有名だわ。",おっ、僕の子孫の敬親を知ってるのか。嬉しいね。敬親はあの高杉晋作とか吉田松陰を抜擢しただけじゃなくて、第1次と第2次長州戦争の時に、長州藩を守る決断をしたんだ。長州藩の人たちは後の明治維新でも活躍するね。ちなみに長州藩の中にもいくつかの藩があったんだよ。,西軍
毛利輝元,8,17,総大将のワシは関ヶ原に行ったじゃろうか？,シュン1,"関ヶ原には<span class=""A"">行っていなかった</span>はずだぜ。指揮は石田三成が執って、毛利の兵は養子の秀元が率いたと思うぜ。",なかなか詳しいではないか。一応、徳川家康に対抗するにあたってワシも出撃することになっていたのだが、大坂城にいた家康の残党たちをどかして、西国での西軍の動きを監督するのに忙しかったのじゃ。関ヶ原の方は吉川広家と小早川秀秋がなんとかしてくれると思ったのじゃがなぁ……。,西軍
宇喜多秀家,9,19,私の家臣といえば誰だと思うか？,シュン1,"秀家さんなら、たくさん家臣いると思うけど、ここは関ヶ原の時に軍師みたいな存在感があった<span class=""A"">明石全登</span>さんかな？",そうだね、君の言う通り、宇喜多にはたくさんの家臣がいたんだけれど、関ヶ原の直前に起きた宇喜多騒動で、多くの家臣が宇喜多を見限っていなくなってしまったんだ。でも、明石全登は宇喜多に残ってくれて関ヶ原の時も手伝ってくれたよ。あの後、どうしたんだろう……？,西軍
明石全登,10,21,私は誰の配下だったか分かるだろうか？,シオリン1,"明石さんの主君といえば、<span class=""A"">宇喜多秀家</span>よね。関ヶ原の時には秀家さんの家臣の中でも一二を争うぐらいだったのよね？",その通りだ。関ヶ原の直前に起こった宇喜多騒動という御家騒動のせいで、それまでにいた多くの有力な家臣は離れてしまったのだ。だが、私は父を取り立ててくれたこともあって宇喜多家を離れず、そのために家宰に抜擢されることになった。,西軍
