名前,番号,ページ,質問,回答キャラ,回答,解説,東西
<ruby>脇坂安治<rt>わきざかやすはる</rt></ruby>,1,29,ワシが<ruby>高虎殿<rt>たかとらどの</rt></ruby>に<ruby>贈<rt>おく</rt></ruby>ったのはなんじゃ？,ハマボウ3,"<span class=""A""><ruby>貞秀<rt>さだひで</rt></ruby>の<ruby>太刀<rt>たち</rt></ruby></span>だよね。たしか<ruby>藤堂<rt>とうどう</rt></ruby><ruby>高虎<rt>たかとら</rt></ruby>さんからもらったって<ruby>言<rt>い</rt></ruby>ってましたよね。",その<ruby>通<rt>とお</rt></ruby>り！　ワシと<ruby>同<rt>おな</rt></ruby>じように<ruby>裏切<rt>うらぎ</rt></ruby>った<ruby>朽木<rt>くつき</rt></ruby>、<ruby>赤座<rt>あかざ</rt></ruby>、<ruby>小川<rt>おがわ</rt></ruby>の<ruby>奴<rt>やつ</rt></ruby>らは<ruby>皆<rt>みな</rt></ruby>、<ruby>減封<rt>げんぽう</rt></ruby>や<ruby>改易<rt>かいえき</rt></ruby>の<ruby>憂<rt>う</rt></ruby>き<ruby>目<rt>め</rt></ruby>にあったからな、<ruby>据<rt>す</rt></ruby>え<ruby>置<rt>お</rt></ruby>きになるよう<ruby>計<rt>はか</rt></ruby>らってくれた<ruby>高虎殿<rt>たかとらどの</rt></ruby>には<ruby>頭<rt>あたま</rt></ruby>が<ruby>上<rt>あ</rt></ruby>がらぬわ。<ruby>持<rt>も</rt></ruby>つべきはやはり<ruby>友<rt>とも</rt></ruby>じゃな！,西軍
<ruby>小早川<rt>こばやかわ</rt></ruby><ruby>秀秋<rt>ひであき</rt></ruby>,2,31,<ruby>僕<rt>ぼく</rt></ruby>が<ruby>陣取<rt>じんど</rt></ruby>ったのはどこ？,シュン5,"<span class=""A""><ruby>松尾<rt>まつお</rt></ruby><ruby>山<rt>やま</rt></ruby></span>だ！　<ruby>関ケ原<rt>せきがはら</rt></ruby>の<ruby>南側<rt>みなみがわ</rt></ruby>にある<ruby>山<rt>やま</rt></ruby>だったはずだぜ。",そうだ。よく<ruby>覚<rt>おぼ</rt></ruby>えていてくれたね。<ruby>僕<rt>ぼく</rt></ruby>が<ruby>陣<rt>じん</rt></ruby>を<ruby>張<rt>は</rt></ruby>った<ruby>松尾<rt>まつお</rt></ruby><ruby>山<rt>やま</rt></ruby>には<ruby>小<rt>ちい</rt></ruby>さな<ruby>砦<rt>とりで</rt></ruby>があったんだけど、<ruby>僕<rt>ぼく</rt></ruby>はそこを<ruby>奪<rt>うば</rt></ruby>い<ruby>取<rt>と</rt></ruby>って<ruby>石田<rt>いしだ</rt></ruby><ruby>三成<rt>みつなり</rt></ruby>や<ruby>大谷吉継<rt>おおたによしつぐ</rt></ruby>を<ruby>待<rt>ま</rt></ruby>ったんだよ。<ruby>大垣城<rt>おおがきじょう</rt></ruby>の<ruby>背後<rt>はいご</rt></ruby>を<ruby>取<rt>と</rt></ruby>られた<ruby>以上<rt>いじょう</rt></ruby>、<ruby>三成<rt>みつなり</rt></ruby>たちは<ruby>関ケ原<rt>せきがはら</rt></ruby>に<ruby>出<rt>で</rt></ruby>てくるしかないからね。,西軍
<ruby>長宗我部盛親<rt>ちょうそかべもりちか</rt></ruby>,3,33,<ruby>俺<rt>おれ</rt></ruby>の<ruby>親父<rt>おやじ</rt></ruby>は<ruby>誰<rt>だれ</rt></ruby>かわかるか？　わかったら<ruby>答<rt>こた</rt></ruby>えてくれ。,シオリン7,"えーっと、たしか……<ruby>元親<rt>もとちか</rt></ruby>、<span class=""A""><ruby>長宗我部<rt>ちょうそかべ</rt></ruby><ruby>元親<rt>もとちか</rt></ruby></span>って<ruby>言<rt>い</rt></ruby>っていたような<ruby>気<rt>き</rt></ruby>がするわ！",おっ、<ruby>俺<rt>おれ</rt></ruby>の<ruby>親父<rt>おやじ</rt></ruby>のこともちゃんと<ruby>覚<rt>おぼ</rt></ruby>えていてくれたようだな。<ruby>親父<rt>おやじ</rt></ruby>は<ruby>土佐<rt>とさ</rt></ruby>の<ruby>出来人<rt>できびと</rt></ruby>って<ruby>言<rt>い</rt></ruby>って、<ruby>豊臣秀吉<rt>とよとみひでよし</rt></ruby>が<ruby>四国<rt>しこく</rt></ruby>に<ruby>来<rt>こ</rt></ruby>なければ、あとちょっとで<ruby>四国<rt>しこく</rt></ruby><ruby>全土<rt>ぜんど</rt></ruby>に<ruby>手<rt>て</rt></ruby>が<ruby>届<rt>とど</rt></ruby>くぐらいまで<ruby>勢力<rt>せいりょく</rt></ruby>を<ruby>広<rt>ひろ</rt></ruby>げたんだ。<ruby>土佐<rt>とさ</rt></ruby>のみんなは<ruby>元気<rt>げんき</rt></ruby>にしているだろうか……。,西軍
<ruby>吉川<rt>きっかわ</rt></ruby><ruby>広家<rt>ひろいえ</rt></ruby>,4,35,<ruby>俺<rt>おれ</rt></ruby>が<ruby>陣取<rt>じんど</rt></ruby>ったのはどこかわかるか？,シュン7,"たしか……<span class=""A""><ruby>南宮山<rt>なんぐうさん</rt></ruby>の<ruby>麓<rt>ふもと</rt></ruby></span>って<ruby>言<rt>い</rt></ruby>っていたと<ruby>思<rt>おも</rt></ruby>うぜ。",その<ruby>通<rt>とお</rt></ruby>り。<ruby>俺<rt>おれ</rt></ruby>がいた<ruby>南宮山<rt>なんぐうさん</rt></ruby>は<ruby>東軍<rt>とうぐん</rt></ruby>が<ruby>布陣<rt>ふじん</rt></ruby>した<ruby>場所<rt>ばしょ</rt></ruby>の<ruby>後<rt>うし</rt></ruby>ろにある。もし、<ruby>俺<rt>おれ</rt></ruby>の<ruby>後<rt>うし</rt></ruby>ろにいた<ruby>毛利秀元<rt>もうりひでもと</rt></ruby>や<ruby>長宗我部盛親<rt>ちょうそかべもりちか</rt></ruby>が<ruby>出撃<rt>しゅつげき</rt></ruby>していたら<ruby>背後<rt>はいご</rt></ruby>を<ruby>突<rt>つ</rt></ruby>かれていた<ruby>東軍<rt>とうぐん</rt></ruby>は<ruby>大混乱<rt>だいこんらん</rt></ruby>になっていただろうが、<ruby>俺<rt>おれ</rt></ruby>はそれを<ruby>押<rt>お</rt></ruby>し<ruby>留<rt>とど</rt></ruby>めて<ruby>東軍<rt>とうぐん</rt></ruby><ruby>勝利<rt>しょうり</rt></ruby>に<ruby>貢献<rt>こうけん</rt></ruby>してやったのさ。そのおかげで<ruby>毛利<rt>もうり</rt></ruby>は<ruby>減封<rt>げんぽう</rt></ruby>で<ruby>済<rt>す</rt></ruby>んだんだ。,西軍
<ruby>毛利勝永<rt>もうりかつなが</rt></ruby>,5,37,<ruby>関ヶ原<rt>せきがはら</rt></ruby>の14、15<ruby>年<rt>ねん</rt></ruby><ruby>後<rt>ご</rt></ruby>にあった<ruby>戦<rt>たたか</rt></ruby>いといえばなんだ？,ハマボウ1,"<ruby>関ヶ原<rt>せきがはら</rt></ruby>の14、15<ruby>年<rt>ねん</rt></ruby><ruby>後<rt>ご</rt></ruby>といえば1614、1615<ruby>年<rt>ねん</rt></ruby>……。<span class=""A""><ruby>大坂<rt>おおさか</rt></ruby>の<ruby>陣<rt>じん</rt></ruby></span>でしたよね。たしか<ruby>冬<rt>ふゆ</rt></ruby>と<ruby>夏<rt>なつ</rt></ruby>に<ruby>分<rt>わ</rt></ruby>かれていたはず……。",よく<ruby>知<rt>し</rt></ruby>っているではないか。<ruby>関ヶ原<rt>せきがはら</rt></ruby>が<ruby>終<rt>お</rt></ruby>わっても<ruby>依然<rt>いぜん</rt></ruby><ruby>我<rt>われ</rt></ruby>らが<ruby>豊臣家<rt>とよとみけ</rt></ruby>は<ruby>生<rt>い</rt></ruby>き<ruby>残<rt>のこ</rt></ruby>っていたからな。<ruby>家康<rt>いえやす</rt></ruby>は<ruby>豊臣<rt>とよとみ</rt></ruby>にとどめを<ruby>刺<rt>さ</rt></ruby>そうとしたのだ。<ruby>関ヶ原<rt>せきがはら</rt></ruby>を<ruby>戦<rt>たたか</rt></ruby>った<ruby>私<rt>わたし</rt></ruby>、<ruby>長宗我部盛親<rt>ちょうそかべもりちか</rt></ruby>、<ruby>明石<rt>あかし</rt></ruby><ruby>全登<rt>てるずみ</rt></ruby>、<ruby>後藤<rt>ごとう</rt></ruby><ruby>又兵衛<rt>またべえ</rt></ruby>そして<ruby>第二次<rt>だいにじ</rt></ruby><ruby>上田<rt>うえだ</rt></ruby><ruby>合戦<rt>かっせん</rt></ruby>で<ruby>活躍<rt>かつやく</rt></ruby>した<ruby>真田幸村<rt>さなだゆきむら</rt></ruby>の5<ruby>人<rt>にん</rt></ruby>で<ruby>中心<rt>ちゅうしん</rt></ruby>となって<ruby>戦<rt>たたか</rt></ruby>ったぞ。,西軍
<ruby>安国寺恵瓊<rt>あんこくじえけい</rt></ruby>,6,39,<ruby>拙僧<rt>せっそう</rt></ruby>の<ruby>本業<rt>ほんぎょう</rt></ruby>はなんであろうか？,ハマボウ2,"そのまま<span class=""A""><ruby>僧<rt>そう</rt></ruby></span>……なんじゃないんですか？",はっ……<ruby>拙僧<rt>せっそう</rt></ruby>、<ruby>答<rt>こた</rt></ruby>えを<ruby>口<rt>くち</rt></ruby>にしてしまっていた……。そう、<ruby>戦国<rt>せんごく</rt></ruby><ruby>大名<rt>だいみょう</rt></ruby>の<ruby>下<rt>もと</rt></ruby>で<ruby>働<rt>はたら</rt></ruby>いた<ruby>僧<rt>そう</rt></ruby>たちは、<ruby>寺<rt>てら</rt></ruby>で<ruby>学<rt>まな</rt></ruby>んだ<ruby>豊富<rt>ほうふ</rt></ruby>な<ruby>知識<rt>ちしき</rt></ruby>を<ruby>持<rt>も</rt></ruby>っている<ruby>者<rt>もの</rt></ruby>たちという<ruby>扱<rt>あつか</rt></ruby>いを<ruby>受<rt>う</rt></ruby>けて、<ruby>外交<rt>がいこう</rt></ruby>に<ruby>政治<rt>せいじ</rt></ruby>に<ruby>活躍<rt>かつやく</rt></ruby>した。<ruby>中<rt>なか</rt></ruby>にはさながら<ruby>軍師<rt>ぐんし</rt></ruby>のような<ruby>働<rt>はたら</rt></ruby>きを<ruby>見<rt>み</rt></ruby>せた<ruby>者<rt>もの</rt></ruby>もいると<ruby>聞<rt>き</rt></ruby>く。,西軍
<ruby>毛利秀元<rt>もうりひでもと</rt></ruby>,7,41,<ruby>僕<rt>ぼく</rt></ruby>たち<ruby>毛利<rt>もうり</rt></ruby>は<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>後<rt>あと</rt></ruby>、<ruby>何<rt>なに</rt></ruby><ruby>藩<rt>はん</rt></ruby>になったかな？,シオリン8,"<ruby>毛利<rt>もうり</rt></ruby>といえば、<span class=""A""><ruby>長州<rt>ちょうしゅう</rt></ruby><ruby>藩<rt>はん</rt></ruby></span>よね。<ruby>毛利<rt>もうり</rt></ruby><ruby>敬親<rt>たかちか</rt></ruby>さんとか<ruby>有名<rt>ゆうめい</rt></ruby>だわ。",おっ、<ruby>僕<rt>ぼく</rt></ruby>の<ruby>子孫<rt>しそん</rt></ruby>の<ruby>敬親<rt>たかちか</rt></ruby>を<ruby>知<rt>し</rt></ruby>ってるのか。<ruby>嬉<rt>うれ</rt></ruby>しいね。<ruby>敬親<rt>たかちか</rt></ruby>はあの<ruby>高杉<rt>たかすぎ</rt></ruby><ruby>晋作<rt>しんさく</rt></ruby>や<ruby>吉田<rt>よしだ</rt></ruby><ruby>松陰<rt>しょういん</rt></ruby>を<ruby>抜擢<rt>ばってき</rt></ruby>しただけじゃなくて、<ruby>第一次<rt>だいいちじ</rt></ruby>と<ruby>第二次<rt>だいにじ</rt></ruby><ruby>長州<rt>ちょうしゅう</rt></ruby><ruby>戦争<rt>せんそう</rt></ruby>の<ruby>時<rt>とき</rt></ruby>に、<ruby>長州<rt>ちょうしゅう</rt></ruby><ruby>藩<rt>はん</rt></ruby>を<ruby>守<rt>まも</rt></ruby>る<ruby>決断<rt>けつだん</rt></ruby>をしたんだ。<ruby>長州<rt>ちょうしゅう</rt></ruby><ruby>藩<rt>はん</rt></ruby>の<ruby>人<rt>ひと</rt></ruby>たちは<ruby>後<rt>のち</rt></ruby>の<ruby>明治維新<rt>めいじいしん</rt></ruby>でも<ruby>活躍<rt>かつやく</rt></ruby>するね。ちなみに<ruby>長州<rt>ちょうしゅう</rt></ruby><ruby>藩<rt>はん</rt></ruby>の<ruby>中<rt>なか</rt></ruby>にもいくつかの<ruby>藩<rt>はん</rt></ruby>があったんだよ。,西軍
<ruby>毛利<rt>もうり</rt></ruby><ruby>輝元<rt>てるもと</rt></ruby>,8,43,<ruby>総<rt>そう</rt></ruby><ruby>大将<rt>だいしょう</rt></ruby>のワシは<ruby>関ケ原<rt>せきがはら</rt></ruby>に<ruby>行<rt>い</rt></ruby>ったじゃろうか？,シュン7,"<ruby>関ケ原<rt>せきがはら</rt></ruby>には<span class=""A""><ruby>行<rt>い</rt></ruby>っていなかった</span>はずだぜ。<ruby>指揮<rt>しき</rt></ruby>は<ruby>石田<rt>いしだ</rt></ruby><ruby>三成<rt>みつなり</rt></ruby>が<ruby>執<rt>と</rt></ruby>って、<ruby>毛利<rt>もうり</rt></ruby>の<ruby>兵士<rt>へいし</rt></ruby>は<ruby>養子<rt>ようし</rt></ruby>の<ruby>秀元<rt>ひでもと</rt></ruby>が<ruby>率<rt>ひき</rt></ruby>いたと<ruby>思<rt>おも</rt></ruby>うぜ。",なかなか<ruby>詳<rt>くわ</rt></ruby>しいではないか。<ruby>一応<rt>いちおう</rt></ruby>、<ruby>徳川<rt>とくがわ</rt></ruby><ruby>家康<rt>いえやす</rt></ruby>に<ruby>対抗<rt>たいこう</rt></ruby>するにあたってワシも<ruby>出撃<rt>しゅつげき</rt></ruby>することになっていたのだが、<ruby>大坂城<rt>おおさかじょう</rt></ruby>にいた<ruby>家康<rt>いえやす</rt></ruby>の<ruby>残党<rt>ざんとう</rt></ruby>たちをどかして、<ruby>西国<rt>さいごく</rt></ruby>での<ruby>西軍<rt>せいぐん</rt></ruby>の<ruby>動<rt>うご</rt></ruby>きを<ruby>監督<rt>かんとく</rt></ruby>するのに<ruby>忙<rt>いそが</rt></ruby>しかったのじゃ。<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>方<rt>ほう</rt></ruby>は<ruby>吉川<rt>きっかわ</rt></ruby><ruby>広家<rt>ひろいえ</rt></ruby>と<ruby>小早川<rt>こばやかわ</rt></ruby><ruby>秀秋<rt>ひであき</rt></ruby>がなんとかしてくれると<ruby>思<rt>おも</rt></ruby>ったのじゃがなぁ……。,西軍
<ruby>宇喜多<rt>うきた</rt></ruby><ruby>秀家<rt>ひでいえ</rt></ruby>,9,45,<ruby>私<rt>わたし</rt></ruby>の<ruby>家臣<rt>かしん</rt></ruby>といえば<ruby>誰<rt>だれ</rt></ruby>だと<ruby>思<rt>おも</rt></ruby>うか？,シュン6,"<ruby>秀家<rt>ひでいえ</rt></ruby>さんなら、たくさん<ruby>家臣<rt>かしん</rt></ruby>いると<ruby>思<rt>おも</rt></ruby>うけど、ここは<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>時<rt>とき</rt></ruby>に<ruby>軍師<rt>ぐんし</rt></ruby>みたいな<ruby>存在感<rt>そんざいかん</rt></ruby>があった<span class=""A""><ruby>明石<rt>あかし</rt></ruby><ruby>全登<rt>てるずみ</rt></ruby></span>さんかな？",そうだね、<ruby>君<rt>きみ</rt></ruby>の<ruby>言<rt>い</rt></ruby>う<ruby>通<rt>とお</rt></ruby>り<ruby>宇喜多<rt>うきた</rt></ruby>にはたくさんの<ruby>家臣<rt>かしん</rt></ruby>がいたんだけれど、<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>直前<rt>ちょくぜん</rt></ruby>に<ruby>起<rt>お</rt></ruby>きた<ruby>宇喜多<rt>うきた</rt></ruby><ruby>騒動<rt>そうどう</rt></ruby>で<ruby>多<rt>おお</rt></ruby>くの<ruby>家臣<rt>かしん</rt></ruby>が<ruby>宇喜多<rt>うきた</rt></ruby>を<ruby>見限<rt>みかぎ</rt></ruby>っていなくなってしまったんだ。でも<ruby>明石<rt>あかし</rt></ruby><ruby>全登<rt>てるずみ</rt></ruby>は<ruby>宇喜多<rt>うきた</rt></ruby>に<ruby>残<rt>のこ</rt></ruby>ってくれて<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>時<rt>とき</rt></ruby>も<ruby>手伝<rt>てつだ</rt></ruby>ってくれたよ。あの<ruby>後<rt>あと</rt></ruby>どうしたんだろう……？,西軍
<ruby>明石<rt>あかし</rt></ruby><ruby>全登<rt>てるずみ</rt></ruby>,10,47,<ruby>私<rt>わたし</rt></ruby>は<ruby>誰<rt>だれ</rt></ruby>の<ruby>配下<rt>はいか</rt></ruby>だったかわかるだろうか？,シオリン7,"<ruby>明石<rt>あかし</rt></ruby>さんの<ruby>主君<rt>しゅくん</rt></ruby>といえば、<span class=""A""><ruby>宇喜多<rt>うきた</rt></ruby><ruby>秀家<rt>ひでいえ</rt></ruby></span>よね。<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>時<rt>とき</rt></ruby>には<ruby>秀家<rt>ひでいえ</rt></ruby>さんの<ruby>家臣<rt>かしん</rt></ruby>の<ruby>中<rt>なか</rt></ruby>でも<ruby>一<rt>いち</rt></ruby><ruby>二<rt>に</rt></ruby>を<ruby>争<rt>あらそ</rt></ruby>うぐらいだったのよね？",その<ruby>通<rt>とお</rt></ruby>りだ。<ruby>関ヶ原<rt>せきがはら</rt></ruby>の<ruby>直前<rt>ちょくぜん</rt></ruby>に<ruby>起<rt>お</rt></ruby>こった<ruby>宇喜多<rt>うきた</rt></ruby><ruby>騒動<rt>そうどう</rt></ruby>という<ruby>御家騒動<rt>おいえそうどう</rt></ruby>のせいで、それまでにいた<ruby>多<rt>おお</rt></ruby>くの<ruby>有力<rt>ゆうりょく</rt></ruby>な<ruby>家臣<rt>かしん</rt></ruby>は<ruby>離<rt>はな</rt></ruby>れてしまったのだ。だが、<ruby>私<rt>わたし</rt></ruby>は<ruby>父<rt>ちち</rt></ruby>を<ruby>取<rt>と</rt></ruby>り<ruby>立<rt>た</rt></ruby>ててくれたこともあって<ruby>宇喜多<rt>うきた</rt></ruby><ruby>家<rt>け</rt></ruby>を<ruby>離<rt>はな</rt></ruby>れず、そのために<ruby>家宰<rt>かさい</rt></ruby>に<ruby>抜擢<rt>ばってき</rt></ruby>されることになった。,西軍
