漢字,振り仮名,上の方が優先されます！,最初の順番,文字数
鉄|錆|地|塗|蓬|糸|威|革|包|菱|綴|桶|側|二|枚|胴|具|足,てつ|さび|じ|ぬり|よもぎ|いと|おどし|かわ|つつみ|ひし|つづり|おけ|がわ|に|まい|どう|ぐ|そく,福島正則,272,35
黒|塗|濃|紺|糸|威|革|包|菱|綴|桶|側|二|枚|胴|具|足,くろ|ぬり|のう|こん|いと|おどし|かわ|つつみ|ひし|つづり|おけ|がわ|に|まい|どう|ぐ|そく,山内一豊,274,33
黒|手|時|代|塗|本|革|包|菱|綴|桶|側|二|枚|胴|具|足,くろ|て|じ|だい|ぬり|ほん|かわ|つつみ|ひし|つづり|おけ|がわ|に|まい|どう|ぐ|そく,黒田長政,278,33
三|鍬|形|後|立|鉄|黒|漆|塗|六|十|二|間|小|星|兜,みつ|くわ|がた|うしろ|だて|てつ|くろ|うるし|ぬり|ろく|じゅう|に|けん|こ|ぼし|かぶと,小早川秀秋,256,31
鉄|錆|地|塗|当|世|小|札|黒|糸|威|二|枚|胴|具|足,てつ|さび|じ|ぬり|とう|せい|こ|ざね|くろ|いと|おどし|に|まい|どう|ぐ|そく,石田三成,267,31
緋|羅|紗|地|大|に|渦|巻|文|様|切|付|陣|羽|織,ひ|ら|しゃ|じ|だい|に|うず|まき|もん|よう|きっ|つけ|じん|ば|おり,毛利勝永,262,29
黒|手|時|代|塗|濃|紺|威|桶|側|二|枚|胴|具|足,くろ|て|じ|だい|ぬり|のう|こん|おどし|おけ|がわ|に|まい|どう|ぐ|そく,藤堂高虎,280,29
伊|予|札|縹|糸|下|散|紅|糸|威|胴|丸|具|足,い|よ|ざね|はなだ|いと|け|さん|くれない|いと|おどし|どう|まる|ぐ|そく,脇坂安治,255,27
猩|々|緋|羅|紗|地|違|い|鎌|模|様|陣|羽|織,しょう|じょう|ひ|ら|しゃ|じ|ちが|い|かま|も|よう|じん|ば|おり,小早川秀秋,258,27
黒|塗|緋|糸|威|当|世|小|札|胴|丸|具|足,くろ|ぬり|ひ|いと|おどし|とう|せい|こ|ざね|どう|まる|ぐ|そく,毛利輝元,263,25
黒|塗|黒|糸|威|伊|予|札|二|枚|胴|具|足,くろ|ぬり|くろ|いと|おどし|い|よ|ざね|に|まい|どう|ぐ|そく,大谷吉継,269,25
羊|歯|鍍|金|前|立|黒|塗|大|黒|頭|巾|兜,し|だ|と|きん|まえ|たて|くろ|ぬり|だい|こく|ず|きん|かぶと,徳川家康,281,25
朱|漆|塗|紺|糸|威|桶|側|二|枚|胴|具|足,しゅ|うるし|ぬり|こん|いと|おどし|おけ|がわ|に|まい|どう|ぐ|そく,井伊直政,285,25
鳥|毛|頭|立|黒|手|時|代|塗|頭|形|兜,とり|げ|ず|だて|くろ|て|じ|だい|ぬり|ず|なり|かぶと,細川忠興,275,23
黒|革|包|濃|紺|糸|威|二|枚|胴|具|足,くろ|かわ|つつみ|のう|こん|いと|おどし|に|まい|どう|ぐ|そく,細川忠興,276,23
黒|漆|塗|桃|形|大|水|牛|脇|立|兜,くろ|うるし|ぬり|もも|なり|だい|すい|ぎゅう|わき|だて|かぶと,福島正則,271,21
伊|予|札|黒|糸|威|胴|丸|具|足,い|よ|ざね|くろ|いと|おどし|どう|まる|ぐ|そく,徳川家康,282,19
黒|手|時|代|塗|唐|冠|形|兜,くろ|て|じ|だい|ぬり|とう|かんむり|なり|かぶと,藤堂高虎,279,17
牛|皮|小|札|黒|糸|威|具|足,ぎゅう|ひ|こ|ざね|くろ|いと|おどし|ぐ|そく,本多忠勝,287,17
銀|箔|押|一|の|谷|形|兜,ぎん|ぱく|おし|いち|の|たに|がた|かぶと,黒田長政,277,15
厭|離|穢|土|欣|求|浄|土,おん|り|え|ど|ごん|ぐ|じょう|ど,,,15
紫|糸|威|二|枚|胴|具|足,むらさき|いと|おどし|に|まい|どう|ぐ|そく,小早川秀秋,257,15
金|箔|押|御|幣|後|立|兜,きん|ぱく|おし|ご|へい|うしろ|だて|かぶと,山内一豊,273,15
銀|箔|置|白|糸|威|具|足,ぎん|ぱく|おき|しろ|いと|おどし|ぐ|そく,松平忠吉,283,15
加増|を|勝手|に|行|って,かぞう|を|かって|に|おこな|って,,,14
伊豆国|附|諸島|八丈|島,いずのくに|づけ|しょとう|はちじょう|じま,,,13
乱|髪|天|衝|脇|立|兜,らん|ぱつ|てん|つき|わき|だて|かぶと,石田三成,266,13
伝|可|児|才|蔵|甲|冑,でん|か|に|さい|ぞう|かっ|ちゅう,可児才蔵,270,13
丸|に|三|つ|引|き,まる|に|み|つ|ひ|き,,55,11
白|糸|威|水|牛|兜,しろ|いと|おどし|すい|ぎゅう|かぶと,毛利勝永,261,11
文治派|<|行|>|,ぶんちは|<|ゆく|>|,,1,10
文治派|<|継|>|,ぶんちは|<|つぐ|>|,,2,10
文治派|<|成|>|,ぶんちは|<|なる|>|,,3,10
この|城|は|後|に,この|しろ|は|のち|に,,54,10
下|に|置|いてある,した|に|お|いてある,,227,10
丸|に|三|つ|鱗,まる|に|み|つ|うろこ,,63,9
月|の|輪|の|兜,つき|の|わ|の|かぶと,宇喜多秀家,264,9
山内一豊殿|の|下,やまうちかずとよどの|の|もと,,,9
天|衝|脇|立|兜,てん|つき|わき|だて|かぶと,井伊直政,284,9
鹿|角|脇|立|兜,か|づの|わき|だて|かぶと,本多忠勝,286,9
後|の|明治維新,のち|の|めいじいしん,,,8
徳川|の|下|で,とくがわ|の|もと|で,,26,8
イタイイタイ|病,イタイイタイ|びょう,,130,8
押|し|留|めて,お|し|とど|めて,,197,8
入|れる|足|湯,はい|れる|あし|ゆ,,129,8
汚名|を|被|る,おめい|を|かぶ|る,,,8
手|に|入|れ,て|に|い|れ,,66,7
若|かりし|頃,わか|かりし|ころ,,,7
小山|で|評定,おやま|で|ひょうじょう,,,7
むしろ|殿|に,むしろ|しんがり|に,,9,7
後|に|開|く,のち|に|ひら|く,,52,7
長門三|つ|星,ながとみ|つ|ぼし,,58,7
丸|に|剣片喰,まる|に|けんかたばみ,,59,7
|<|主|>|,|<|しゅ|>|,,131,7
|<|従|>|,|<|じゅう|>|,,132,7
|「|召|」|,|「|しょう|」|,,229,7
赤色|の|前立,あかいろ|の|まえだて,島左近,265,7
三|つ|葉|葵,み|つ|ば|あおい,,67,7
石田|三成|殿,いしだ|みつなり|どの,,14,7
明石|全登|殿,あかし|てるずみ|どの,,32,7
義弘殿|ん|下,よしひろどの|ん|もと,,,7
秀家様|の|下,ひでいえさま|の|もと,,,7
南|蛮|形|兜,なん|ばん|がた|かぶと,吉川広家,259,7
三|巴|具|足,みつ|どもえ|ぐ|そく,吉川広家,260,7
井伊|直政|殿,いい|なおまさ|どの,,,7
母里|太兵衛,もり|たへえ,,,6
日本三大水城,にほんさんだいみずじろ,,4,6
