epsファイル,pngファイル,備考,canvaのデータそのまま
B5冊子左001P.eps,空,,TRUE
B5冊子左002P-P003.eps,本書の楽しみ方,,TRUE
B5冊子左004P-P005.eps,目次,,TRUE
B5冊子左006P-P007.eps,現代キャラ紹介1,,FALSE
B5冊子左008P-P009.eps,現代キャラ紹介2＋妖怪,,FALSE
B5冊子左010P-P011.eps,不破関-岐阜城,名所紹介1,FALSE
B5冊子左012P-P013.eps,白川郷・五箇山-美濃和紙,名所紹介2,FALSE
B5冊子左014P-P015.eps,神岡鉱山-かかみがはら,名所紹介3,FALSE
B5冊子左016P-P017.eps,下呂温泉-長良川,名所紹介4,FALSE
B5冊子左018P-P019.eps,関ヶ原の戦いとは1,,FALSE
B5冊子左020P-P021.eps,関ヶ原の戦いとは2,,FALSE
B5冊子左022P-P023.eps,関ヶ原の戦いとは3,古戦場紹介も,FALSE
B5冊子左024P-P025.eps,布陣図,,TRUE
B5冊子左026P-P027.eps,情義の西軍デッキ紹介,,TRUE
B5冊子左028P-P029.eps,脇坂安治,,FALSE
B5冊子左030P-P031.eps,小早川秀秋,,FALSE
B5冊子左032P-P033.eps,長宗我部盛親,,FALSE
B5冊子左034P-P035.eps,吉川広家,,FALSE
B5冊子左036P-P037.eps,毛利勝永,,FALSE
B5冊子左038P-P039.eps,安国寺恵瓊,,FALSE
B5冊子左040P-P041.eps,毛利秀元,,FALSE
B5冊子左042P-P043.eps,毛利輝元,,FALSE
B5冊子左044P-P045.eps,宇喜多秀家,,FALSE
B5冊子左046P-P047.eps,明石全登,,FALSE
B5冊子左048P-P049.eps,島左近,,FALSE
B5冊子左050P-P051.eps,石田三成,,FALSE
B5冊子左052P-P053.eps,大谷吉継,,FALSE
B5冊子左054P-P055.eps,平塚為広,,FALSE
B5冊子左056P-P057.eps,小西行長,,FALSE
B5冊子左058P-P059.eps,島津義弘,,FALSE
B5冊子左060P-P061.eps,島津豊久,,FALSE
B5冊子左062P-P063.eps,歴戦の東軍デッキ紹介,,TRUE
B5冊子左064P-P065.eps,大野治長,,FALSE
B5冊子左066P-P067.eps,可児才蔵,,FALSE
B5冊子左068P-P069.eps,福島正則,,FALSE
B5冊子左070P-P071.eps,山内一豊,,FALSE
B5冊子左072P-P073.eps,細川忠興,,FALSE
B5冊子左074P-P075.eps,細川興元,,FALSE
B5冊子左076P-P077.eps,柳生宗矩,,FALSE
B5冊子左078P-P079.eps,後藤又兵衛,,FALSE
B5冊子左080P-P081.eps,黒田長政,,FALSE
B5冊子左082P-P083.eps,藤堂高虎,,FALSE
B5冊子左084P-P085.eps,池田輝政,,FALSE
B5冊子左086P-P087.eps,徳川家康,,FALSE
B5冊子左088P-P089.eps,松平忠吉,,FALSE
B5冊子左090P-P091.eps,井伊直政,,FALSE
B5冊子左092P-P093.eps,本多忠勝,,FALSE
B5冊子左094P-P095.eps,本多忠朝,,FALSE
B5冊子左096P-P097.eps,本多正純,,FALSE
B5冊子左098P-P099.eps,クイズQA1,,FALSE
B5冊子左100P-P101.eps,クイズQA2,,FALSE
B5冊子左102P-P103.eps,クイズQA3,,FALSE
B5冊子左104P-P105.eps,終わりに・謝辞,,TRUE
B5冊子左106P.eps,メタ情報,,TRUE
